nivel;camada;onde;mensagem
Fatal;Cross Sections;Itajai_Mirim, R1 (30503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (30503.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (30253.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (29253.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (29003.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (28753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (28753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (28003.33);XS intersects > 2 banklines
Fatal;Cross Sections;Itajai_Mirim, R1 (27753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (27753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (27503.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (27253.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (26753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (26503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (25753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (25003.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (24753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (24753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (24003.33);Left Bank Station point is different than the bankline intersection (>1%)
