folha,frac_invalida,frac_miolo,colar_px,dif_mediana,dif_p95,classe,doente
MDT_SG-22-Z-A-VI-3-NE-C.tif,0.01824,0.00691,0,-30.01,234.59,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NE-D.tif,0.01948,0.0079,0,53.22,266.02,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NE-E.tif,0.01832,0.00697,0,16.68,236.07,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NE-F.tif,0.01926,0.0078,0,-32.0,154.07,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NO-A.tif,0.01659,0.00544,0,30.41,175.66,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NO-B.tif,0.01734,0.00611,0,-42.94,228.77,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NO-C.tif,0.01644,0.00536,0,-19.74,184.67,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NO-D.tif,0.01732,0.00609,0,-10.7,176.66,furada,1
MDT_SG-22-Z-A-VI-3-NO-E.tif,0.01666,0.0055,0,-11.31,326.04,furada,1
MDT_SG-22-Z-A-VI-3-NO-F.tif,0.01738,0.00614,0,11.82,284.88,furada,1
MDT_SG-22-Z-A-VI-3-SE-A.tif,0.0184,0.00699,0,-26.27,249.62,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-SE-B.tif,0.01954,0.008,0,-9.69,258.94,furada,1
MDT_SG-22-Z-A-VI-3-SE-C.tif,0.01845,0.00704,0,3.08,185.0,furada,1
MDT_SG-22-Z-A-VI-3-SE-D.tif,0.01945,0.00791,0,-1.76,115.4,furada,1
MDT_SG-22-Z-A-VI-3-SE-E.tif,0.01858,0.00717,0,8.34,162.24,furada,1
MDT_SG-22-Z-A-VI-3-SE-F.tif,0.01953,0.00794,0,7.43,206.68,furada,1
MDT_SG-22-Z-A-VI-3-SO-A.tif,0.01649,0.0054,0,5.1,207.38,furada,1
MDT_SG-22-Z-A-VI-3-SO-B.tif,0.01739,0.00614,0,10.14,201.75,furada,1
MDT_SG-22-Z-A-VI-3-SO-C.tif,0.01649,0.0054,0,-2.37,253.23,furada,1
MDT_SG-22-Z-A-VI-3-SO-D.tif,0.01726,0.00607,0,-7.28,171.98,furada,1
MDT_SG-22-Z-A-VI-3-SO-E.tif,0.01642,0.00538,0,16.22,247.62,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-SO-F.tif,0.01741,0.00615,0,-18.18,136.63,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NE-A.tif,0.02221,0.01042,0,11.64,199.96,furada,1
MDT_SG-22-Z-A-VI-4-NE-B.tif,0.0232,0.0113,0,53.17,254.35,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NE-C.tif,0.02221,0.01042,0,-44.42,282.66,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NE-D.tif,0.02342,0.01147,0,63.11,201.87,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NE-E.tif,0.02229,0.01046,0,-71.64,214.69,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NE-F.tif,0.02311,0.01125,0,77.06,242.84,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NO-A.tif,0.02039,0.00875,0,-89.57,283.0,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NO-B.tif,0.02145,0.00965,0,-39.14,261.44,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NO-C.tif,0.02039,0.00875,0,-71.7,340.14,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NO-D.tif,0.02144,0.00967,0,-105.83,375.12,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NO-E.tif,0.02052,0.00879,0,-48.48,371.0,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-NO-F.tif,0.02119,0.0095,0,-122.48,392.31,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SE-A.tif,0.02229,0.01046,0,-92.97,316.2,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SE-B.tif,0.0233,0.01139,0,15.61,193.08,fora_de_nivel,1
