x,y,altura_m,area_m2,classe,nome
658477.2,7005452.1,4.07,15040,?,
646813.2,6997716.1,4.06,16576,represa,UHE Salto Pilão - Vertedouro
677285.2,6988020.1,4.05,256,?,
641365.2,7009140.1,4.04,512,?,
658453.2,7005644.1,4.03,1856,?,
618189.2,6992532.1,4.03,74048,?,
680149.2,6989660.1,4.03,576,?,
676645.2,6986972.1,4.02,576,?,
692397.2,7023228.1,4.0,384,?,
641005.2,7009652.1,3.98,576,?,
658693.2,7005644.1,3.97,1408,?,
707381.2,7002788.1,3.97,448,?,
657029.2,7005444.1,3.96,306048,?,
648773.2,7004924.1,3.96,25920,?,
675637.2,6986612.1,3.95,256,?,
679317.2,7024860.1,3.94,512,?,
660189.2,7013476.1,3.94,5440,?,
593165.2,7001988.1,3.94,7040,?,
678109.2,6988692.1,3.94,320,?,
687821.2,7025572.1,3.93,2304,represa,PCH Salto (Salto Weissbach) - Barragem I
647869.2,7002260.1,3.91,7232,?,
719885.2,7016732.1,3.89,960,?,
594381.2,7002588.1,3.89,1408,?,
624925.2,6982412.1,3.88,1600,?,
620965.2,6980780.1,3.88,1024,?,
727989.2,7018844.1,3.87,4928,?,
687565.2,7025164.1,3.86,21824,represa,
652901.2,6943676.1,3.86,512,?,
718549.2,7026796.1,3.85,256,?,
644989.2,6995676.1,3.84,256512,?,
697789.2,6996108.1,3.84,1152,?,
651805.2,6949084.1,3.84,384,?,
676941.2,6987340.1,3.83,448,?,
592725.2,7002772.1,3.79,384,?,
718709.2,7026188.1,3.78,512,?,
653517.2,7003484.1,3.78,24768,?,
594557.2,7002572.1,3.78,384,?,
697421.2,6996124.1,3.78,320,?,
622349.2,6990260.1,3.78,116800,?,
622293.2,6981164.1,3.78,1280,?,
690533.2,7024244.1,3.76,512,?,
582045.2,7017388.1,3.76,512,?,
702037.2,6997788.1,3.76,256,?,
707453.2,7002964.1,3.74,256,?,
644877.2,6997260.1,3.74,41536,?,
613229.2,6995636.1,3.73,768,?,
645125.2,7006692.1,3.72,44096,?,
697365.2,6996124.1,3.72,1536,?,
687389.2,6991244.1,3.72,320,?,
706013.2,7000492.1,3.71,384,?,
650677.2,6950052.1,3.69,2176,?,
650237.2,6949500.1,3.69,1216,?,
732069.2,7022860.1,3.68,1280,?,
650789.2,7003116.1,3.68,119360,?,
684477.2,7024212.1,3.67,640,?,
682653.2,7024828.1,3.65,256,?,
687109.2,7024980.1,3.64,28224,?,
711421.2,7021332.1,3.62,320,?,
729613.2,7019260.1,3.61,6656,?,
644301.2,7009556.1,3.61,256,?,
696621.2,6995988.1,3.61,704,?,
698461.2,6995716.1,3.61,832,?,
676981.2,7025252.1,3.6,125504,?,
688741.2,6991092.1,3.6,320,?,
678885.2,6989516.1,3.6,256,?,
635237.2,7010060.1,3.58,3904,?,
679397.2,6990212.1,3.58,256,?,
700749.2,6996084.1,3.57,256,?,
670749.2,7021524.1,3.53,2240,?,
729229.2,7019084.1,3.53,384,ponte,
728773.2,7018732.1,3.53,320,ponte,
616877.2,6990756.1,3.53,256,?,
675437.2,6986644.1,3.53,256,?,
593949.2,6992580.1,3.52,512,?,
624877.2,6982364.1,3.51,320,?,
618773.2,6975900.1,3.51,1984,?,
715093.2,7022644.1,3.5,320,?,
700525.2,6995772.1,3.5,512,?,
680173.2,6989508.1,3.49,832,?,
685365.2,6991172.1,3.48,1280,?,
696461.2,6993564.1,3.47,256,?,
644157.2,7008372.1,3.46,30528,?,
635117.2,6989916.1,3.46,1280,ponte,
729341.2,7020196.1,3.45,1088,?,
684837.2,6990196.1,3.45,256,?,
699485.2,6996236.1,3.44,832,?,
673533.2,7023428.1,3.43,3200,?,
621493.2,6980732.1,3.43,448,?,
692661.2,7023492.1,3.42,384,?,
693309.2,6990716.1,3.42,320,?,
720133.2,7016756.1,3.4,704,?,
722701.2,7027540.1,3.38,1664,?,
636485.2,7008116.1,3.38,320,?,
644933.2,6997052.1,3.38,26112,?,
684285.2,6990004.1,3.38,512,?,
711645.2,7021492.1,3.37,320,?,
729477.2,7019588.1,3.37,512,?,
645381.2,6997572.1,3.36,29632,?,
586157.2,7009580.1,3.35,448,?,
651765.2,6949036.1,3.35,1792,?,
709829.2,7020236.1,3.34,512,?,
690773.2,6990804.1,3.34,448,?,
713397.2,7009580.1,3.33,1472,?,
712613.2,7008244.1,3.33,9024,?,
682717.2,7024788.1,3.32,384,?,
593525.2,6992500.1,3.32,8128,?,
671789.2,7031084.1,3.31,31552,?,
633997.2,6979708.1,3.31,4224,?,
647125.2,6997988.1,3.3,39936,?,
699109.2,6995804.1,3.3,640,?,
620773.2,6981092.1,3.3,7232,?,
621733.2,6980924.1,3.29,2112,?,
593621.2,6992196.1,3.28,1088,?,
680733.2,6989708.1,3.28,832,?,
655485.2,6939964.1,3.28,256,?,
594029.2,6993484.1,3.27,17984,?,
689861.2,7025884.1,3.26,448,?,
637845.2,7014692.1,3.26,512,?,
645477.2,6996492.1,3.26,45312,?,
684917.2,6990428.1,3.26,7552,ponte,
713165.2,7008940.1,3.25,12160,?,
634845.2,6989900.1,3.25,960,?,
694117.2,7023196.1,3.24,512,?,
698821.2,7024108.1,3.23,256,?,
701053.2,6996076.1,3.23,320,?,
593325.2,6992116.1,3.23,2176,?,
678525.2,7024860.1,3.22,9536,?,
612597.2,6994316.1,3.22,11328,?,
593517.2,6992156.1,3.22,640,?,
622205.2,6981028.1,3.22,1408,?,
671733.2,7029716.1,3.21,320,?,
584381.2,7011028.1,3.21,768,?,
592709.2,7002820.1,3.21,256,?,
651277.2,6949876.1,3.21,256,?,
687973.2,7025636.1,3.2,448,?,
712069.2,7008116.1,3.2,384,?,
734253.2,7021244.1,3.19,2944,?,
696501.2,6994964.1,3.19,576,?,
672549.2,7022364.1,3.18,384,?,
659813.2,6937772.1,3.18,4288,?,
647013.2,6998908.1,3.17,48064,?,
649133.2,6952084.1,3.17,3776,?,
671981.2,7030716.1,3.16,640,?,
611245.2,6996580.1,3.16,13952,?,
718629.2,7026364.1,3.15,640,?,
586741.2,7008956.1,3.15,3712,?,
696685.2,6995428.1,3.15,384,?,
690781.2,6990836.1,3.15,704,?,
729957.2,7022124.1,3.14,384,?,
585645.2,7009596.1,3.14,1152,?,
691749.2,7023420.1,3.13,320,?,
696245.2,6994924.1,3.12,384,?,
649293.2,6951972.1,3.12,10112,?,
724173.2,7027604.1,3.11,704,?,
644909.2,6997724.1,3.11,8320,?,
641213.2,7009052.1,3.1,4288,?,
595077.2,7002740.1,3.07,256,?,
645549.2,7006068.1,3.04,21184,?,
698813.2,6995892.1,3.04,256,?,
688893.2,6990972.1,3.04,384,ponte,
729741.2,7023124.1,3.03,1536,?,
662565.2,7006828.1,3.03,896,ponte,
648285.2,7006004.1,3.03,6144,?,
651821.2,6949044.1,3.03,2560,?,
642797.2,7008844.1,3.02,2944,?,
659477.2,7006516.1,3.02,14720,?,
646061.2,6997876.1,3.01,10816,?,
685085.2,6991028.1,3.01,384,?,
606205.2,6997820.1,3.0,9152,?,
697245.2,6993212.1,3.0,1216,?,
631509.2,7024700.1,2.99,23232,?,
584493.2,7010764.1,2.99,2432,?,
675957.2,6986676.1,2.99,832,?,
619317.2,6979092.1,2.99,1792,?,
586685.2,7009004.1,2.98,384,?,
