id,ano,data_pico,cota_blumenau_m,chuva_media_bacia_mm,chuva_max_sub_bacia_mm,fonte_dados,arquivo_csv,chuva_oeste_mm,chuva_mirim_doce_mm,chuva_sul_mm,chuva_perimbo_mm,chuva_trombudo_mm,chuva_norte_mm,chuva_benedito_mm,chuva_mirim_mm,chuva_luis_alves_mm,chuva_acu_mm
BLU_19670218,1967,1967-02-18,10.5,89.2,118.3,Reanálise ERA5-Land (Open-Meteo),evento_1967_02_18_cota_10_50m.csv,118.3,108.7,81.0,87.1,89.2,97.5,94.7,71.2,72.7,71.2
BLU_19660213,1966,1966-02-13,10.07,120.9,168.0,Reanálise ERA5-Land (Open-Meteo),evento_1966_02_13_cota_10_07m.csv,117.3,111.4,89.2,95.2,95.8,99.6,168.0,142.7,147.2,142.7
BLU_19630929,1963,1963-09-29,9.67,121.1,143.6,Reanálise ERA5-Land (Open-Meteo),evento_1963_09_29_cota_9_67m.csv,127.4,142.2,110.4,133.5,114.8,100.5,143.6,115.4,107.6,115.4
BLU_19620921,1962,1962-09-21,9.29,96.3,119.9,Reanálise ERA5-Land (Open-Meteo),evento_1962_09_21_cota_9_29m.csv,112.0,119.9,78.2,88.0,100.1,90.1,114.7,90.0,80.1,90.0
BLU_19620909,1962,1962-09-09,8.94,46.9,74.5,Reanálise ERA5-Land (Open-Meteo),evento_1962_09_09_cota_8_94m.csv,63.4,74.5,49.7,68.6,62.2,45.4,36.8,26.1,16.3,26.1
BLU_19611101,1961,1961-11-01,12.49,98.5,119.7,Reanálise ERA5-Land (Open-Meteo),evento_1961_11_01_cota_12_49m.csv,119.7,113.6,82.8,100.1,83.7,85.8,116.1,99.6,84.3,99.6
BLU_19610930,1961,1961-09-30,9.63,43.9,56.1,Reanálise ERA5-Land (Open-Meteo),evento_1961_09_30_cota_9_63m.csv,40.0,44.2,56.1,49.6,44.3,38.6,53.6,41.3,30.1,41.3
BLU_19610912,1961,1961-09-12,10.35,41.1,60.0,Reanálise ERA5-Land (Open-Meteo),evento_1961_09_12_cota_10_35m.csv,44.2,42.4,21.0,29.6,36.5,36.1,60.0,44.2,53.3,44.2
BLU_19570916,1957,1957-09-16,9.44,58.2,83.5,Reanálise ERA5-Land (Open-Meteo),evento_1957_09_16_cota_9_44m.csv,68.1,83.5,51.1,75.5,63.1,44.0,57.0,49.0,41.7,49.0
BLU_19570818,1957,1957-08-18,13.07,62.2,87.7,Reanálise ERA5-Land (Open-Meteo),evento_1957_08_18_cota_13_07m.csv,63.5,71.1,49.1,64.0,57.8,49.6,87.7,60.0,59.3,60.0
BLU_19570802,1957,1957-08-02,10.6,52.2,72.9,Reanálise ERA5-Land (Open-Meteo),evento_1957_08_02_cota_10_60m.csv,44.0,45.9,53.6,49.7,49.3,45.0,72.9,53.6,54.0,53.6
BLU_19570720,1957,1957-07-20,9.28,30.9,37.7,Reanálise ERA5-Land (Open-Meteo),evento_1957_07_20_cota_9_28m.csv,37.7,32.4,24.7,25.3,29.2,34.5,37.7,29.3,28.7,29.3
BLU_19550520,1955,1955-05-20,10.61,33.2,45.8,Reanálise ERA5-Land (Open-Meteo),evento_1955_05_20_cota_10_61m.csv,35.2,42.5,42.5,45.8,30.6,23.1,28.5,28.4,26.9,28.4
BLU_19541122,1954,1954-11-22,12.53,4.3,7.6,Reanálise ERA5-Land (Open-Meteo),evento_1954_11_22_cota_12_53m.csv,4.5,5.2,0.7,1.9,1.7,0.8,7.5,7.6,5.6,7.6
BLU_19540508,1954,1954-05-08,9.56,35.4,46.0,Reanálise ERA5-Land (Open-Meteo),evento_1954_05_08_cota_9_56m.csv,40.9,46.0,36.2,44.7,35.6,30.3,36.5,26.9,29.8,26.9
BLU_19531101,1953,1953-11-01,9.65,19.8,37.4,Reanálise ERA5-Land (Open-Meteo),evento_1953_11_01_cota_9_65m.csv,24.0,19.1,8.1,12.2,13.0,16.2,37.4,20.9,26.6,20.9
BLU_19501017,1950,1950-10-17,9.45,103.4,119.8,Reanálise ERA5-Land (Open-Meteo),evento_1950_10_17_cota_9_45m.csv,119.8,102.6,84.9,84.4,94.8,109.4,113.0,113.2,98.4,113.2
BLU_19480517,1948,1948-05-17,11.85,22.3,32.5,Reanálise ERA5-Land (Open-Meteo),evento_1948_05_17_cota_11_85m.csv,15.9,22.0,32.5,30.6,19.1,12.7,27.0,18.8,25.3,18.8
BLU_19460202,1946,1946-02-02,9.45,95.5,146.3,Reanálise ERA5-Land (Open-Meteo),evento_1946_02_02_cota_9_45m.csv,92.5,92.3,64.4,77.9,68.0,61.7,146.3,104.5,143.1,104.5
BLU_19430803,1943,1943-08-03,10.5,18.0,28.4,Reanálise ERA5-Land (Open-Meteo),evento_1943_08_03_cota_10_50m.csv,23.3,28.4,14.5,26.1,22.5,14.5,18.5,11.2,9.9,11.2
