nivel;camada;onde;mensagem
Fatal;Cross Sections;Itajai_Norte, R1 (62821.82);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (62379.11);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (61810.86);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (61048.86);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (60232.34);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (59470.34);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (58708.34);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (57920.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (57114.70);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (56507.59);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (55841.84);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (55607.87);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (55457.87);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (55307.87);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (55157.87);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (55007.87);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (54786.99);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (54368.39);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (53678.98);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (52765.96);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (52400.17);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (52183.98);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (51970.19);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (51683.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (51509.98);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (51271.48);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (51042.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (50892.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (50742.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (50592.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (50442.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (50292.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (50142.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (49991.11);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (49810.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (49557.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (49257.01);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (49080.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (48930.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (48780.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (48630.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (48480.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (48330.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (48178.92);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (48024.73);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (47783.09);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (47375.60);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (46637.23);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (45637.23);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (44638.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (44488.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (44338.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (44188.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (44038.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (43888.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (43738.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (43588.97);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (43312.57);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (42519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (41519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (40519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (39519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (38519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (37519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (36519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (35519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (34519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (33519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (32519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (31519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (30519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (29519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (28519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (27519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (26519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (25519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (24519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (23519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (22519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (21519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (20519.43);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (19624.30);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (19229.87);XS intersects < 2 banklines
